code: stationname quality area wgs
3166: JVP3166 1.0 129132 60212802506230
3166: JVP3166 1.0 129132 60212802506230
3167: JVP3167 1.0 44428 60180402454008
3169: JVP3169 1.0 19481 60215412505081
3170: JVP3170 1.0 16816 60171452506197
3171: JVP3171 1.0 250119 60212722454301
3172: JVP3172 2.0 4253269 60155182448567
3173: JVP3173 1.0 196104 60211272450599
3174: JVP3174 1.0 249709 60210822450235
3181: JVP3181 1.0 1854569 60215892451172
3182: JVP3182 3.0 312618 60213172451272
3183: JVP3183 1.0 1943662 60192302500544
3184: JVP3184 3.0 76485 60211352507451
3188: JVP3188 2.0 64435 60164182504556
3190: JVP3190 3.0 157499 60181942457355
3192: JVP3192 1.0 1711855 000000000000
3199: JVP3199 3.0 362276 
3199: JVP3199 3.0 362276 60184062453192
4001: JVP4001 2.0 51491 60131042441343
4003: JVP4003 2.0 64833 60122712441379
4004: JVP4004 1.0 115194 60130612444044
4005: JVP4005 2.0 135000 60125322442586
4006: JVP4006 1.0 9283 60121622443302
4007: JVP4007 3.0 1329489 60123422443151
